Date,Cluster,Ticker,Action,Shares_Qty,Close,Final_Weight,Position,Score_MR,Score_Mom,Score_VB,Score_XSR,Score_Val
2024-07-26,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,28811782,17.35,-0.5,-1.0,-0.6304,0.0,0.0997,0.0,1.0
2024-07-29,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6059215,82.52,-0.5,-1.0,0.3121,1.0,1.0,0.0,0.0
2024-07-29,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,29351575,17.03,0.5,1.0,-0.3121,0.0,0.1832,1.0,1.0
2024-07-30,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,5983002,83.57,-0.5,-1.0,0.3485,1.0,1.0,0.0,0.0
2024-07-30,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,29062315,17.2,0.5,1.0,-0.3485,0.0,0.1931,1.0,1.0
2024-07-31,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,5980199,83.61,0.5,1.0,0.4572,1.0,0.9667,1.0,0.0
2024-07-31,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,29011856,17.23,-0.5,-1.0,-0.4572,0.0,0.6396,0.0,1.0
2024-08-01,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6087149,82.14,-0.5,-1.0,-0.1279,1.0,1.0,0.0,0.0
2024-08-01,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,30309848,16.5,0.5,1.0,0.1279,0.0,1.0,1.0,1.0
2024-08-02,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6284460,79.56,0.5,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-02,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,28911470,17.29,-0.5,-1.0,-1.0,0.0,1.0,0.0,0.0
2024-08-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6374432,78.44,-0.5,-1.0,0.6422,1.0,1.0,0.0,1.0
2024-08-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,29894155,16.73,0.5,1.0,-0.6422,0.0,1.0,1.0,0.0
2024-08-06,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6323378,79.07,-0.5,-1.0,0.4671,1.0,0.7541,0.0,0.0
2024-08-06,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,30019456,16.66,0.5,1.0,-0.4671,0.0,0.8799,1.0,1.0
2024-08-07,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6482346,77.13,-0.5,-1.0,0.2609,1.0,0.7288,0.0,0.0
2024-08-07,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,30850763,16.21,0.5,1.0,-0.2609,0.0,0.9519,1.0,1.0
2024-08-08,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6402677,78.09,0.5,1.0,0.3682,1.0,0.4356,1.0,0.0
2024-08-08,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,30438672,16.43,-0.5,-1.0,-0.3682,0.0,0.6903,0.0,1.0
2024-08-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6419315,77.89,0.5,1.0,0.3649,1.0,0.416,1.0,0.0
2024-08-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,30494217,16.4,-0.5,-1.0,-0.3649,0.0,0.6641,0.0,1.0
2024-08-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6400537,78.12,-0.5,-1.0,0.1887,1.0,0.3345,0.0,0.0
2024-08-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,30737272,16.27,0.5,1.0,-0.1887,0.0,0.588,1.0,1.0
2024-08-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6102671,81.93,-0.5,-1.0,0.4722,1.0,0.3531,0.0,0.0
2024-08-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,29368770,17.02,0.5,1.0,-0.4722,0.0,0.4755,1.0,1.0
2024-08-14,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6198496,80.66,0.5,1.0,0.4068,1.0,0.3458,1.0,0.0
2024-08-14,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,29752218,16.81,-0.5,-1.0,-0.4068,0.0,0.4917,0.0,1.0
2024-08-15,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6072669,82.34,0.5,1.0,0.561,1.0,0.2631,1.0,0.0
2024-08-15,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,29096049,17.18,-0.5,-1.0,-0.561,0.0,0.5255,0.0,1.0
2024-08-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6080383,82.23,0.5,1.0,0.7943,1.0,0.251,1.0,0.0
2024-08-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,28696334,17.42,-0.5,-1.0,-0.7943,0.0,0.504,0.0,1.0
2024-08-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6053947,82.59,-0.5,-1.0,0.5387,1.0,0.1396,0.0,0.0
2024-08-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,29011856,17.23,0.5,1.0,-0.5387,0.0,0.4223,1.0,1.0
2024-08-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6125614,81.62,0.5,1.0,0.6018,1.0,0.1294,1.0,0.0
2024-08-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,29096049,17.18,-0.5,-1.0,-0.6018,0.0,0.4073,0.0,1.0
2024-08-21,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,5915528,84.52,-0.5,-1.0,0.5489,1.0,-0.0131,0.0,0.0
